CASE 1: g11,,,,,,CASE 2: g12,,,,,,CASE 3: g22,,,,,
"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",,"p = 5.5, x =0.1",,"p = 5.5, x =0.95",,"p = 7.0, x =0.95",
r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r),r,g(r)
1.734784,1.0061951,1.4741813,1.0589776,1.0489053,1.0957674,1.3458475,1.0175687,1.1879426,0.9874074,0.63190293,0.8705743,1.32867,1.1537173,1.1814219,1.0804054,0.7022434,0.6897815
1.7999567,1.0061868,1.5564811,1.0448378,1.0969366,1.1014131,1.4007876,1.0251206,1.2462554,1.0062279,0.6663662,0.8530752,1.3732351,1.1446301,1.249943,1.0926776,0.7399874,0.65935564
1.8308263,1.005241,1.6284952,1.0335252,1.1449617,1.103291,1.4695016,1.0276759,1.2840204,1.0125152,0.7146177,0.8280759,1.4623934,1.1081725,1.3390262,1.104975,0.808532,0.656392
1.8994275,1.0042905,1.7005124,1.0240966,1.2375771,1.1042213,1.5141892,1.0252059,1.3423616,1.0263286,0.76624894,0.8130933,1.513822,1.0929992,1.4247105,1.0989851,0.8496137,0.68386674
1.9886111,1.0042793,1.758806,1.0127858,1.3061813,1.1051546,1.6069652,1.0265273,1.4282647,1.0276449,0.8212244,0.81438637,1.5481154,1.0778052,1.4727073,1.0868548,0.9043893,0.72049975
2.0640757,1.0052117,1.8205359,1.0052423,1.371343,1.0985528,1.6723137,1.0165621,1.5142033,1.0227023,0.88304436,0.8206917,1.6063979,1.0626402,1.5550116,1.0503888,0.93859357,0.763202
2.1566894,1.0052001,1.8856976,0.9986404,1.4330746,1.0919514,1.7101426,1.0115834,1.6138805,1.0190219,0.9104648,0.8332301,1.6852752,1.0261701,1.6201622,1.0260907,0.9625121,0.808939
2.2458732,1.005189,1.9474306,0.9929809,1.5050839,1.0778129,1.7548443,1.0066099,1.6792362,1.0078049,0.95495397,0.8658098,1.736699,1.014044,1.6887304,1.0078913,1.020663,0.87909514
2.3453455,1.0042344,1.9988765,0.9892066,1.5702362,1.0655591,1.857965,1.0016803,1.741134,1.0003407,1.0029929,0.87836367,1.736699,1.014044,1.7710112,0.98666126,1.0582566,0.94617903
2.4139483,1.0042259,2.0537524,0.98543185,1.614806,1.0523661,1.9335731,1.0004852,1.8339951,0.9866409,1.0303637,0.89966446,1.7812687,1.0019096,1.8121634,0.96842825,1.0924703,0.982787
2.5065668,1.0070401,2.1223552,0.98542327,1.6833868,1.0391701,2.0160966,0.99178475,1.9096386,0.979187,1.0680225,0.92472833,1.8361007,1.0019765,1.901256,0.97463125,1.1335002,1.0437807
2.5717394,1.0070319,2.1978276,0.99106556,1.7485265,1.0193808,2.0916977,0.99184155,2.0127947,0.96799845,1.0953792,0.9485327,1.9183581,0.9959824,1.9732182,0.97776616,1.1985192,1.1048037
2.6540596,1.0051377,2.252713,0.9929426,1.8308169,0.99958926,2.1672988,0.9918983,2.0952404,0.9730675,1.1467553,0.97861403,2.0211868,0.98391896,2.0828822,0.9778998,1.284105,1.1628046
2.73981,1.003243,2.3110378,1.0004709,1.8925452,0.9911039,2.2257178,0.99194217,2.163919,0.98188156,1.1878576,1.0024287,2.0623107,0.9839691,2.1445587,0.98406935,1.3560908,1.1507035
2.81527,1.0013496,2.3693566,1.0042315,1.9611386,0.98544353,2.256617,0.9969725,2.2669547,0.99197316,1.2084053,1.014962,2.1274238,0.9840485,2.2747095,1.032983,1.438334,1.153851
2.9044566,1.0032222,2.4345338,1.0070491,2.0228748,0.98166794,2.3425486,0.9932817,2.311621,0.9932585,1.2529652,1.0350239,2.1993954,0.981089,2.322697,1.0269471,1.438334,1.153851
3.0107925,1.0041509,2.513427,1.0070392,2.0949078,0.9816589,2.4387326,0.99961287,2.376856,1.0033218,1.3180586,1.0701226,2.2610815,0.9811642,2.4049354,1.0331417,1.520643,1.1143379
3.079389,1.0003744,2.602614,1.008912,2.1909564,0.9844727,2.493694,1.0034095,2.4593086,1.007139,1.3558663,1.0688992,2.3810263,0.98131037,2.5077455,1.033267,1.5892769,1.0534778
3.1891503,0.99847674,2.6712198,1.0107872,2.2527113,0.99200064,2.5727315,1.0034689,2.5451906,1.0122106,1.4108489,1.0689405,2.3810263,0.98131037,2.565995,1.0394324,1.6647366,1.0109092
3.271475,0.99940836,2.7089465,1.0079566,2.3178904,0.99576026,2.6414597,1.0035205,2.6482759,1.0135398,1.4624093,1.0664756,2.4255774,0.9813647,2.6791048,1.0273815,1.7333424,0.96833223
3.3400795,1.0003417,2.7946906,1.0022941,2.3762105,1.0004628,2.662064,1.0060395,2.7101738,1.0060756,1.5037099,1.0552406,2.5181062,0.9814775,2.737392,1.0091695,1.8088021,0.9257636
3.4121125,1.0003326,2.9387548,1.0013341,2.4482543,1.0070474,2.8063934,1.0061479,2.7720504,1.0023668,1.5828325,1.0402788,2.5832193,0.98155683,2.8436522,0.994063,1.9013405,0.919782
3.5184467,1.0003192,2.983334,0.9937928,2.516868,1.0136325,2.8854377,1.0049555,2.8442647,0.99365854,1.6310414,1.0227901,2.6791563,0.9938625,2.949908,0.9820038,2.0041504,0.91990733
3.6110651,1.0031335,3.0999572,0.9928362,2.5991962,1.016448,2.964525,0.9962524,2.9267385,0.9937205,1.6860735,1.014069,2.788811,1.0000906,3.008167,0.9820748,2.0897644,0.95962507
3.7036726,0.99935406,3.1514077,0.99188775,2.69524,1.016436,3.040119,0.997561,3.0160995,0.991284,1.7205226,0.99907345,2.9019113,0.994134,3.059572,0.98213744,2.165116,0.9871416
3.7894278,1.0002853,3.2234406,0.9918787,2.811854,1.0098276,3.0882287,0.9975971,3.0985804,0.9900942,1.7893572,0.9803484,2.9875815,0.99728566,3.162363,0.9944515,2.2336137,1.0146497
3.8957636,1.0012139,3.254312,0.9918748,2.8907282,0.9985142,3.1775682,0.998916,3.2051091,0.99017423,1.8547057,0.9703833,3.1452188,1.000525,3.2343206,1.0006336,2.2986796,1.045201
3.9849486,1.0021446,3.3194892,0.9946925,3.048502,0.9909587,3.2565916,1.0014789,3.3012931,0.9965054,1.9131814,0.960413,3.2788577,1.0098294,3.3302531,1.0159864,2.411766,1.048386
4.10157,1.000246,3.381241,1.0003365,3.1273873,0.986239,3.3046942,1.0027668,3.4180958,1.002852,1.9991342,0.9529668,3.4022577,0.9916967,3.4261997,1.0221977,2.5077078,1.0576445
