# Time-averaged data for fix myfix3
# TimeStep Number-of-rows
# Row c_myRDF3[1] c_myRDF3[2] c_myRDF3[3]
10000 40
1 0.05 3.16254 0.00727273
2 0.15 0.677688 0.0181818
3 0.25 0.998698 0.0618182
4 0.35 1.02569 0.149091
5 0.45 1.06282 0.298182
6 0.55 0.903584 0.487273
7 0.65 0.958723 0.767273
8 0.75 0.963733 1.14182
9 0.85 1.05661 1.66909
10 0.95 1.11448 2.36364
11 1.05 1.14176 3.23273
12 1.15 1.09136 4.22909
13 1.25 1.25086 5.57818
14 1.35 1.12741 6.99636
15 1.45 1.12769 8.63273
16 1.55 1.03956 10.3564
17 1.65 1.03354 12.2982
18 1.75 1.00658 14.4255
19 1.85 0.951534 16.6727
20 1.95 0.98535 19.2582
21 2.05 0.98563 22.1164
22 2.15 0.959935 25.1782
23 2.25 0.924403 28.4073
24 2.35 0.953343 32.04
25 2.45 0.97721 36.0873
26 2.55 1.02527 40.6873
27 2.65 0.99064 45.4873
28 2.75 1.03281 50.8764
29 2.85 0.988213 56.4145
30 2.95 0.996243 62.3964
31 3.05 1.01471 68.9091
32 3.15 1.02461 75.9236
33 3.25 1.00445 83.2436
34 3.35 1.01113 91.0727
35 3.45 1.00651 99.3382
36 3.55 0.994097 107.982
37 3.65 1.00644 117.233
38 3.75 0.991715 126.855
39 3.85 1.03261 137.415
40 3.95 1.00193 148.2
