# Time-averaged data for fix ave_time
# TimeStep v_kinetic_energy v_potential_energy
7540 1.51012 11.3861
7550 1.49855 11.384
7560 1.50388 11.3859
7570 1.51344 11.3792
7580 1.49181 11.3791
7590 1.48766 11.3801
7600 1.49724 11.3823
7610 1.48939 11.3829
7620 1.50161 11.3876
7630 1.50509 11.3896
7640 1.49952 11.3887
7650 1.4919 11.3904
7660 1.49363 11.398
7670 1.50069 11.3941
7680 1.50064 11.3934
7690 1.52151 11.399
7700 1.51091 11.4002
7710 1.5025 11.3961
7720 1.51862 11.3937
7730 1.52486 11.3929
7740 1.49767 11.3896
7750 1.49975 11.3913
7760 1.50527 11.3881
7770 1.49701 11.3864
7780 1.49127 11.3815
7790 1.48677 11.3815
7800 1.50346 11.3881
7810 1.51065 11.3959
7820 1.49719 11.4052
7830 1.47486 11.4074
7840 1.494 11.4086
7850 1.48868 11.4116
7860 1.50613 11.4109
7870 1.50877 11.4112
7880 1.47792 11.418
7890 1.51059 11.4226
7900 1.51186 11.4184
7910 1.4839 11.4208
7920 1.50712 11.419
7930 1.48631 11.4223
7940 1.48412 11.4215
7950 1.5099 11.418
7960 1.48981 11.413
7970 1.50225 11.4156
7980 1.48562 11.411
7990 1.51501 11.4132
8000 1.50224 11.4094
8010 1.46965 11.4108
8020 1.49261 11.4145
8030 1.52153 11.4129
8040 1.49849 11.4119
8050 1.51679 11.4083
8060 1.51406 11.4109
8070 1.49835 11.4113
8080 1.50192 11.4116
8090 1.48852 11.4076
8100 1.49077 11.4044
8110 1.50624 11.4031
8120 1.51192 11.4054
8130 1.49761 11.4007
8140 1.49193 11.3948
8150 1.5039 11.3887
8160 1.49709 11.3892
8170 1.5083 11.3893
8180 1.48963 11.3901
8190 1.48885 11.3853
8200 1.49635 11.3854
8210 1.50211 11.3834
8220 1.48954 11.3819
8230 1.50385 11.3825
8240 1.45934 11.382
8250 1.51201 11.3797
8260 1.48169 11.3803
8270 1.50308 11.3763
8280 1.49444 11.3768
8290 1.50987 11.3773
8300 1.49451 11.3844
8310 1.52516 11.3891
8320 1.50256 11.3886
8330 1.50069 11.3929
8340 1.48723 11.398
8350 1.50419 11.4015
8360 1.50839 11.3972
8370 1.4959 11.3957
8380 1.52002 11.3945
8390 1.51469 11.3963
8400 1.51429 11.3932
8410 1.52267 11.3927
8420 1.49291 11.3963
8430 1.52219 11.3948
8440 1.48972 11.3946
8450 1.50152 11.3955
8460 1.50311 11.3902
8470 1.49631 11.3897
8480 1.51382 11.3906
8490 1.50089 11.3977
8500 1.48239 11.4058
8510 1.49837 11.412
8520 1.48105 11.4094
8530 1.50329 11.4126
8540 1.52002 11.4088
8550 1.4953 11.4034
8560 1.50457 11.4053
8570 1.50882 11.4081
8580 1.50715 11.4159
8590 1.49962 11.4118
8600 1.50954 11.4129
8610 1.50537 11.4067
8620 1.50302 11.4056
8630 1.50598 11.4013
8640 1.50463 11.3977
8650 1.50416 11.3959
8660 1.4834 11.4025
8670 1.50647 11.4049
8680 1.49085 11.4084
8690 1.49778 11.4146
8700 1.51406 11.4174
8710 1.49387 11.422
8720 1.48331 11.416
8730 1.49848 11.4117
8740 1.4927 11.4074
8750 1.49549 11.4137
8760 1.50137 11.408
8770 1.50759 11.4101
8780 1.50091 11.4153
8790 1.50135 11.4208
8800 1.52343 11.4182
8810 1.5101 11.4211
8820 1.50318 11.4195
8830 1.51411 11.4198
8840 1.50999 11.4166
8850 1.51758 11.4172
8860 1.49913 11.4214
8870 1.49879 11.4217
8880 1.49785 11.4208
8890 1.48013 11.4149
8900 1.48069 11.4182
8910 1.50134 11.4165
8920 1.49133 11.4194
8930 1.50989 11.4207
8940 1.47287 11.4225
8950 1.49619 11.4127
8960 1.5101 11.4108
8970 1.51079 11.4125
8980 1.50115 11.4159
8990 1.48627 11.4152
9000 1.50332 11.4167
9010 1.5075 11.4219
9020 1.49866 11.4138
9030 1.49982 11.4161
9040 1.50343 11.4189
9050 1.4914 11.4178
9060 1.50556 11.4146
9070 1.49442 11.4155
9080 1.51153 11.4168
9090 1.51521 11.4209
9100 1.51079 11.4197
9110 1.52437 11.4145
9120 1.50893 11.419
9130 1.48458 11.418
9140 1.50528 11.4133
9150 1.47662 11.408
9160 1.50168 11.4071
9170 1.50036 11.4108
9180 1.50563 11.4089
9190 1.48364 11.4113
9200 1.51743 11.4055
9210 1.49235 11.4107
9220 1.49553 11.4069
9230 1.47437 11.4048
9240 1.4943 11.4058
9250 1.49525 11.4061
9260 1.48898 11.4082
9270 1.5032 11.4105
9280 1.49616 11.412
9290 1.50486 11.4124
9300 1.5008 11.4131
9310 1.48261 11.4115
9320 1.50661 11.4079
9330 1.49143 11.4041
9340 1.50575 11.3955
9350 1.49862 11.3884
9360 1.49216 11.3853
9370 1.49892 11.3865
9380 1.5207 11.3892
9390 1.50867 11.3904
9400 1.49053 11.3925
9410 1.49318 11.3933
9420 1.50795 11.3943
9430 1.49933 11.3951
9440 1.50092 11.3929
9450 1.5161 11.3933
9460 1.4956 11.3914
9470 1.49254 11.3862
9480 1.49511 11.386
9490 1.49755 11.3813
9500 1.52999 11.3807
9510 1.50808 11.3821
9520 1.50221 11.3782
9530 1.51193 11.3798
9540 1.49219 11.3774
9550 1.48222 11.3773
9560 1.49509 11.3718
9570 1.50019 11.3718
9580 1.49098 11.3688
9590 1.51952 11.3675
9600 1.49694 11.3683
9610 1.51416 11.3651
9620 1.50581 11.3675
9630 1.49512 11.3709
9640 1.49662 11.3696
9650 1.4963 11.3691
9660 1.51101 11.3718
9670 1.49797 11.364
9680 1.51001 11.3657
9690 1.51946 11.3671
9700 1.49917 11.3664
9710 1.50568 11.3687
9720 1.52528 11.3691
9730 1.50388 11.3585
9740 1.48603 11.3566
9750 1.50294 11.3574
9760 1.50615 11.3556
9770 1.50184 11.3598
9780 1.51088 11.3665
9790 1.50662 11.369
9800 1.51342 11.3645
9810 1.49562 11.3638
9820 1.49993 11.3593
9830 1.51901 11.3552
9840 1.48689 11.361
9850 1.51037 11.3699
9860 1.49375 11.3655
9870 1.48518 11.3569
9880 1.51121 11.353
9890 1.48219 11.3524
9900 1.48479 11.3577
9910 1.50208 11.3535
9920 1.46366 11.3533
9930 1.50754 11.35
9940 1.5052 11.3465
9950 1.49147 11.3517
9960 1.49125 11.3603
9970 1.4981 11.3601
9980 1.50728 11.3624
9990 1.50951 11.3664
10000 1.5002 11.3634
10010 1.49265 11.3666
10020 1.51859 11.369
10030 1.50186 11.37
10040 1.50599 11.3689
10050 1.48835 11.3732
10060 1.50466 11.3729
10070 1.49182 11.37
10080 1.48114 11.3674
10090 1.48597 11.3594
10100 1.48125 11.3599
10110 1.51506 11.3619
10120 1.50265 11.3669
10130 1.48544 11.3738
10140 1.52399 11.3771
10150 1.5024 11.3719
10160 1.5013 11.3726
10170 1.50726 11.372
10180 1.49351 11.3724
10190 1.50775 11.3758
10200 1.48697 11.3798
10210 1.49862 11.3799
10220 1.50584 11.3763
10230 1.50341 11.3743
10240 1.50472 11.3703
10250 1.50135 11.3736
10260 1.49326 11.3758
10270 1.51815 11.3769
10280 1.49925 11.3756
10290 1.48932 11.3722
10300 1.51417 11.3686
10310 1.47824 11.3716
10320 1.50742 11.3805
10330 1.49236 11.3778
10340 1.51198 11.379
10350 1.50568 11.3794
10360 1.50885 11.3834
10370 1.47579 11.3789
10380 1.49253 11.3737
10390 1.51663 11.3781
10400 1.49971 11.3757
10410 1.4952 11.3726
10420 1.49731 11.3738
10430 1.50701 11.3752
10440 1.4757 11.3746
10450 1.49993 11.3701
10460 1.48026 11.3626
10470 1.49743 11.358
10480 1.48892 11.3591
10490 1.48067 11.3663
10500 1.51899 11.37
10510 1.49553 11.3746
10520 1.50744 11.3727
10530 1.47677 11.3742
10540 1.46965 11.3743
10550 1.50364 11.3723
10560 1.49183 11.3739
10570 1.51691 11.3683
10580 1.49351 11.3655
10590 1.52516 11.3678
10600 1.51026 11.3678
10610 1.48692 11.3644
10620 1.50582 11.3613
10630 1.48415 11.3591
10640 1.50904 11.3564
10650 1.50708 11.3548
10660 1.50202 11.3573
10670 1.49881 11.3569
10680 1.50122 11.3544
10690 1.48804 11.3594
10700 1.47959 11.3638
10710 1.50566 11.3585
10720 1.50158 11.3522
10730 1.48282 11.3484
10740 1.50786 11.3437
10750 1.48388 11.3496
10760 1.5095 11.3483
10770 1.50603 11.3444
10780 1.52387 11.3397
10790 1.50177 11.3471
10800 1.49839 11.3429
10810 1.50365 11.3496
10820 1.49718 11.3524
10830 1.50124 11.3555
10840 1.49647 11.3452
10850 1.51322 11.3454
10860 1.49728 11.3489
10870 1.50618 11.352
10880 1.48646 11.3528
10890 1.46454 11.3444
10900 1.48184 11.3489
10910 1.4996 11.3492
10920 1.48791 11.3529
10930 1.48491 11.3558
10940 1.50655 11.3548
10950 1.52401 11.3535
10960 1.51209 11.3529
10970 1.5106 11.3484
10980 1.49327 11.3458
10990 1.50556 11.3526
11000 1.49318 11.3481
11010 1.49002 11.3469
11020 1.52114 11.3509
11030 1.49184 11.3609
11040 1.50797 11.3627
11050 1.51529 11.3595
11060 1.50942 11.3577
11070 1.5041 11.3522
11080 1.49443 11.3507
11090 1.49861 11.3514
11100 1.49193 11.3527
11110 1.51077 11.3516
11120 1.48987 11.3537
11130 1.48769 11.3531
11140 1.48036 11.3512
11150 1.50053 11.3463
11160 1.49291 11.3546
11170 1.51746 11.3478
11180 1.51387 11.3474
11190 1.47503 11.3462
11200 1.48569 11.3449
11210 1.50749 11.3432
11220 1.48536 11.3431
11230 1.5258 11.3418
11240 1.50686 11.3427
11250 1.4902 11.3422
11260 1.48679 11.3429
11270 1.48921 11.3452
11280 1.4894 11.3523
11290 1.49898 11.3505
11300 1.48985 11.3607
11310 1.51983 11.3613
11320 1.49775 11.3631
11330 1.48941 11.3629
11340 1.47039 11.3682
11350 1.49063 11.3665
11360 1.51099 11.3703
11370 1.51474 11.3653
11380 1.50754 11.3671
11390 1.49923 11.3682
11400 1.50462 11.3641
11410 1.46726 11.3632
11420 1.50493 11.3701
11430 1.49134 11.3683
11440 1.50347 11.3688
11450 1.50728 11.3687
11460 1.50366 11.3644
11470 1.50239 11.3682
11480 1.48847 11.364
11490 1.52033 11.3654
11500 1.46838 11.368
11510 1.48364 11.3698
11520 1.49507 11.3672
11530 1.49256 11.3713
11540 1.51215 11.3698
11550 1.48961 11.3764
11560 1.53177 11.3745
11570 1.49394 11.3788
11580 1.49744 11.3812
11590 1.50388 11.3812
11600 1.4998 11.38
11610 1.51347 11.3721
11620 1.50751 11.3773
11630 1.49812 11.3827
11640 1.47476 11.3856
11650 1.51369 11.3876
11660 1.49761 11.3832
11670 1.48862 11.3814
11680 1.48762 11.3795
11690 1.51843 11.3785
11700 1.4972 11.3787
11710 1.50242 11.3763
11720 1.48906 11.3719
11730 1.49421 11.3668
11740 1.50109 11.3566
11750 1.48037 11.3534
11760 1.51296 11.3478
11770 1.4904 11.3511
11780 1.4812 11.3443
11790 1.51626 11.357
11800 1.48865 11.3679
11810 1.49735 11.3738
11820 1.50542 11.37
11830 1.50001 11.3671
11840 1.49535 11.3694
11850 1.5005 11.3688
11860 1.5221 11.372
11870 1.48921 11.3712
11880 1.48909 11.3621
11890 1.50674 11.3599
