# Time-averaged data for fix myfix2
# TimeStep Number-of-rows
# Row c_myRDF2[1] c_myRDF2[2] c_myRDF2[3]
10000 40
1 0.05 3.17968 0.0885714
2 0.15 3.73649 0.817143
3 0.25 2.59125 2.18857
4 0.35 1.91834 4.16571
5 0.45 1.19217 6.19143
6 0.55 0.796892 8.21143
7 0.65 0.606538 10.3571
8 0.75 0.540163 12.9
9 0.85 0.544993 16.1943
10 0.95 0.617314 20.8543
11 1.05 0.726979 27.5571
12 1.15 0.92365 37.7714
13 1.25 1.11909 52.3914
14 1.35 1.25185 71.4657
15 1.45 1.27701 93.9114
16 1.55 1.16142 117.237
17 1.65 1.07818 141.774
18 1.75 0.949808 166.089
19 1.85 0.849526 190.391
20 1.95 0.829013 216.74
21 2.05 0.844802 246.414
22 2.15 0.901465 281.243
23 2.25 0.971751 322.36
24 2.35 1.04786 370.726
25 2.45 1.10259 426.04
26 2.55 1.11581 486.68
27 2.65 1.10218 551.369
28 2.75 1.06648 618.774
29 2.85 1.01278 687.526
30 2.95 0.965481 757.746
31 3.05 0.929821 830.034
32 3.15 0.910971 905.577
33 3.25 0.946987 989.171
34 3.35 0.98345 1081.41
35 3.45 1.00807 1181.68
36 3.55 1.04027 1291.25
37 3.65 1.05814 1409.06
38 3.75 1.05366 1532.89
39 3.85 1.03105 1660.61
40 3.95 1.02264 1793.95
