# Time-averaged data for fix myfix3
# TimeStep Number-of-rows
# Row c_myRDF3[1] c_myRDF3[2] c_myRDF3[3]
10000 40
1 0.05 1.76674 0.0386603
2 0.15 1.57433 0.279809
3 0.25 1.45556 0.884976
4 0.35 1.20793 1.86297
5 0.45 1.03005 3.23789
6 0.55 0.852327 4.93512
7 0.65 0.803002 7.1667
8 0.75 0.779814 10.0505
9 0.85 0.79998 13.8492
10 0.95 0.886115 19.1039
11 1.05 0.966527 26.1045
12 1.15 1.06167 35.3275
13 1.25 1.08886 46.5022
14 1.35 1.11047 59.7941
15 1.45 1.06968 74.5638
16 1.55 1.03191 90.8444
17 1.65 0.992769 108.593
18 1.75 0.970406 128.108
19 1.85 0.96299 149.749
20 1.95 0.961674 173.76
21 2.05 0.971548 200.568
22 2.15 0.98948 230.599
23 2.25 1.00473 263.996
24 2.35 1.01924 300.952
25 2.45 1.01979 341.142
26 2.55 1.01925 384.656
27 2.65 1.01314 431.368
28 2.75 1.00068 481.052
29 2.85 0.9969 534.214
30 2.95 0.993173 590.958
31 3.05 0.989082 651.365
32 3.15 0.990292 715.876
33 3.25 0.996493 784.978
34 3.35 0.998029 858.51
35 3.45 1.00151 936.769
36 3.55 1.0052 1019.94
37 3.65 1.00739 1108.05
38 3.75 1.00297 1200.64
39 3.85 1.00638 1298.57
40 3.95 0.996493 1400.64
