# Time-averaged data for fix myfix
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 40
1 0.05 0.779612 0.0161616
2 0.15 0.852005 0.139798
3 0.25 0.864754 0.480404
4 0.35 0.848092 1.13091
5 0.45 0.90582 2.27636
6 0.55 0.928681 4.02828
7 0.65 0.916658 6.44162
8 0.75 0.959869 9.80444
9 0.85 0.969037 14.1636
10 0.95 0.994222 19.7491
11 1.05 0.977695 26.4578
12 1.15 1.00093 34.6954
13 1.25 1.00115 44.4291
14 1.35 1.01866 55.9802
15 1.45 1.00503 69.1269
16 1.55 1.00112 84.0901
17 1.65 1.00658 101.138
18 1.75 1.00845 120.35
19 1.85 0.997422 141.585
20 1.95 0.998225 165.197
21 2.05 1.00115 191.368
22 2.15 1.00155 220.165
23 2.25 0.997149 251.565
24 2.35 0.994806 285.737
25 2.45 0.997729 322.987
26 2.55 1.0011 363.476
27 2.65 1.00294 407.284
28 2.75 0.997665 454.211
29 2.85 0.999076 504.684
30 2.95 1.00266 558.955
31 3.05 1.00117 616.881
32 3.15 0.998333 678.492
33 3.25 1.00319 744.396
34 3.35 1.00026 814.213
35 3.45 0.998181 888.107
36 3.55 1.00369 966.777
37 3.65 0.996961 1049.38
38 3.75 1.00122 1136.95
39 3.85 0.997775 1228.94
40 3.95 1.00126 1326.1
